Sex,Length,Diameter,Height,Whole_Weight,Shucked_Weight,Viscera_Weight,Shell_Weight,Rings,Age
M,111.00000000000001,85,26,153.29999999999998,52.800000000000004,33.6,55.00000000000001,13,14.5
F,80,64,22,70.6,28.1,19.7,20,8,9.5
F,119,95,34,249.40000000000003,96,45,85,20,21.5
M,113.99999999999999,96,35,237,94.8,52.2,76,11,12.5
F,121,90,39,219.60000000000002,96.2,57.9,63,13,14.5
F,120,95,30,201.5,88.5,44.2,56.00000000000001,15,16.5
M,119,95,28.000000000000004,188.79999999999998,72.5,37.8,63,9,10.5
F,120,94,30,184.4,72.6,38.800000000000004,61,10,11.5
F,111.00000000000001,85,28.000000000000004,157.6,56.39999999999999,31.900000000000002,56.99999999999999,11,12.5
F,123,95,34,220.5,93.89999999999999,47.099999999999994,69,14,15.5
F,114.99999999999999,89,28.000000000000004,188.2,76.9,50.4,56.99999999999999,9,10.5
M,124,102,35,323,102.1,38.4,135,12,13.5
F,104,85,33,197.70000000000002,79.2,45,64,16,17.5
M,119,95,32,263.5,81.6,46.800000000000004,115.99999999999999,21,22.5
M,115.99999999999999,90,28.000000000000004,202.59999999999997,76,43.2,72,14,15.5
F,113.99999999999999,93,36,259,67.80000000000001,44.5,88,12,13.5
M,125,93,28.000000000000004,239,96.5,41,80,13,14.5
M,112.00000000000001,88,32,172.9,66.10000000000001,41.5,52,10,11.5
F,92,71,26,103.4,44.1,22.8,33,9,10.5
F,114.99999999999999,90,32,195.5,62.7,46.2,66,12,13.5
M,112.99999999999999,85,27,162.3,68.2,33.5,51,15,16.5
M,111.00000000000001,88,30,151,61.4,30.5,52,12,13.5
M,119,93,35,223,80.30000000000001,50.8,78,13,14.5
F,125,99,33,252.4,101.4,63.6,78,10,11.5
M,139,112.00000000000001,38,298.8,117.6,68.5,97,15,16.5
M,133,107,39,321.20000000000005,115.10000000000001,77.60000000000001,96,14,15.5
M,107,87,30,145,53.800000000000004,27.700000000000003,50,9,10.5
M,94,75,26,104.60000000000001,42.8,26.400000000000002,28.999999999999996,8,9.5
M,94,74,26,104.5,40.2,26.6,33,7,8.5
F,95,75,25,115.7,55.50000000000001,17,31,10,11.5
I,72,53,19,46.300000000000004,21,9.2,15,7,8.5
M,110.00000000000001,87,28.999999999999996,168.6,65.60000000000001,38.3,51,15,16.5
M,106,87,32,176.6,63.2,32.800000000000004,67,15,16.5
M,106,83,28.000000000000004,144.79999999999998,62.1,33.5,41,10,11.5
M,121,94,32,234.7,99.5,48.1,69,12,13.5
F,104,82,31,145.4,58.199999999999996,36.7,47,12,13.5
F,109.00000000000001,86,33,160.4,58.699999999999996,36.6,56.00000000000001,11,12.5
F,100,80,25,133.5,52.2,26.3,44,10,11.5
F,102,78,27,126.69999999999999,46.2,35.8,40,9,10.5
F,87,79,21,72.7,27.200000000000003,19.6,26,9,10.5
M,99,79,25,108.3,47.5,26.900000000000002,31,9,10.5
M,93,72,21,86.2,34.4,21.4,35,9,10.5
I,87,64,16,66.5,29.7,12.7,21,9,10.5
M,85,70,21,78.60000000000001,26,12.6,33,9,10.5
F,109.00000000000001,82,25,138.7,59.5,29.2,42,11,12.5
F,106,83,23,118.30000000000001,46.6,31.7,36,11,12.5
F,98,75,27,122.50000000000001,51.1,20.4,44,11,12.5
M,88,68,21,80.4,26.1,19.1,33,10,11.5
F,112.00000000000001,86,30,176.5,69.3,34.4,62,9,10.5
M,81,61,17,52.1,22.900000000000002,11.899999999999999,17,8,9.5
F,94,73,21,84.1,32.6,20.7,28.000000000000004,9,10.5
I,77,59,17,50.7,20.599999999999998,11.5,17,7,8.5
F,103,85,28.000000000000004,153.2,60.8,34.5,51,14,15.5
M,74,53,15,42.8,18,10.2,14.000000000000002,6,7.5
I,72,56.00000000000001,16,35.099999999999994,16.2,10.100000000000001,14.000000000000002,6,7.5
I,54,39,12,14.6,5.7,4.7,6,5,6.5
I,75,55.00000000000001,18,47.599999999999994,21.5,10.9,14.000000000000002,6,7.5
I,77,57.99999999999999,17,50.1,22.400000000000002,12.2,16,8,9.5
M,140,107,32,345.1,126,52.7,108,19,20.5
M,142,108,33,391.8,153.29999999999998,52.2,156,18,19.5
M,119,96,33,252.4,96.7,56.599999999999994,82,17,18.5
F,88,70,25,80.7,35,12.6,25.8,9,10.5
F,65,52,18,38.3,17,7.199999999999999,12.4,7,8.5
I,70,52,19,42.199999999999996,17.2,11.200000000000001,13.600000000000001,7,8.5
I,53,40,13,19.5,8,4.1000000000000005,5.6000000000000005,7,8.5
F,85,66,23,81.2,32.7,16.2,27.1,8,9.5
F,61,46,16,31.2,13.5,6.9,9.6,7,8.5
M,69,51,18,40.1,18.8,5.8999999999999995,12.6,9,10.5
F,81,65,22,71.1,30.2,12.6,23.400000000000002,9,10.5
M,75,56.99999999999999,19,50.6,19.2,11.5,18.5,9,10.5
F,112.99999999999999,89,31,165.2,68.2,41.099999999999994,49.5,10,11.5
F,110.00000000000001,90,28.999999999999996,148.2,59,28.7,53.300000000000004,10,11.5
M,130,104,38,268.9,103.8,61.199999999999996,89.3,16,17.5
M,112.00000000000001,91,31,159.4,68,38,48.5,11,12.5
M,95,75,26,103.49999999999999,41.5,23.3,34,10,11.5
F,98,76,25,109.80000000000001,49,21.5,34.8,10,11.5
M,92,70,24,103,44.800000000000004,21.6,31.3,10,11.5
I,56.00000000000001,41,16,25.4,10.4,7.8,8.4,9,10.5
I,35,26,11,6.3,2.1,1.3,2.5,5,6.5
I,34,26,19,6,2.6,1.6,2,4,5.5
M,118,95,28.999999999999996,210.6,88.3,52.400000000000006,65,15,16.5
F,121,100,37,223.70000000000002,93.8,51.7,67,9,10.5
F,127,103,38,274.3,101.29999999999998,61,90,10,11.5
F,121,97,32,211.3,74,47.099999999999994,71,10,11.5
F,112.99999999999999,90,27,197.70000000000002,77.4,29.9,62,12,13.5
M,103,81,26,144.4,64,26.200000000000003,42,10,11.5
F,114.99999999999999,92,38,198.8,78.4,48.5,68,13,14.5
M,129,97,43,302.8,109.2,52.300000000000004,127,16,17.5
F,115.99999999999999,91,34,181.5,74.8,42.699999999999996,56.99999999999999,13,14.5
F,114.99999999999999,92,33,224.8,59.699999999999996,35.699999999999996,88,13,14.5
M,121,93,33,211.20000000000002,84.3,49.5,68,13,14.5
F,121,97,32,244.4,106,51.5,56.00000000000001,13,14.5
M,122,97,35,248.89999999999998,108.80000000000001,59.4,69,12,13.5
F,145,112.00000000000001,42,428.2,130,79.60000000000001,200.99999999999997,18,19.5
F,130,109.00000000000001,46,350.4,112.1,57.9,163,16,17.5
M,145,113.99999999999999,38,509.99999999999994,214.1,96.6,145,14,15.5
F,145,114.99999999999999,35,424.8,153,90.3,170,20,21.5
F,136,113.99999999999999,41,368.40000000000003,125,81.6,130,20,21.5
M,141,112.00000000000001,44,396.20000000000005,163.5,61.7,152,14,15.5
F,136,103,35,323.7,102.49999999999999,81.8,124,12,13.5
M,139,110.00000000000001,43,391.29999999999995,142.5,108.2,118,14,15.5
F,106,79,28.999999999999996,155,61.6,33.800000000000004,51,7,8.5
M,105,87,31,213,97.2,46.6,56.99999999999999,8,9.5
F,104,81,23,155.20000000000002,64,36.9,44,8,9.5
I,47,32,8,9.6,3.6999999999999997,3.5999999999999996,3,5,6.5
I,72,52,18,35.699999999999996,12.9,7.3999999999999995,15,7,8.5
I,63,42,12,25,12,7.5,7.000000000000001,5,6.5
I,63,49,17,28.7,10.6,9.5,10,8,9.5
I,45,32,9,9.3,5,3,3,4,5.5
M,115.99999999999999,95,30,194,77,43.3,70,11,12.5
M,113.99999999999999,96,36,187.9,79.80000000000001,40,59,14,15.5
M,128,102,35,273.6,103,53.2,113.99999999999999,21,22.5
F,112.00000000000001,90,32,204.70000000000002,85.8,53.6,60,10,11.5
F,124,95,35,203.29999999999998,87.1,42.8,65,10,11.5
F,129,102,40,313.5,124.2,73.4,92,12,13.5
M,124,98,38,243.6,109.1,59.3,71,13,14.5
F,126,96,30,210.5,78.4,67.2,56.99999999999999,12,13.5
F,126,100,37,276.6,108,66.3,76,10,11.5
F,126,96,32,239.8,105.3,67,63,11,12.5
F,117,92,34,186.5,73,54.2,57.99999999999999,9,10.5
M,123,96,36,231.9,96.89999999999999,43.3,65,13,14.5
M,122,97,34,204.5,83.8,48.1,72,12,13.5
M,115.99999999999999,90,30,185.4,55.2,36.3,72,14,15.5
I,71,55.00000000000001,17,44,18.4,12,30,8,9.5
F,102,80,28.000000000000004,162.9,91.8,39.300000000000004,39,10,11.5
M,100,81,31,154.4,69.19999999999999,30.7,49,12,13.5
F,101,82,30,128.8,56.99999999999999,28.999999999999996,42,11,12.5
M,128,100,37,260.70000000000005,88.9,52.7,93,16,17.5
M,112.00000000000001,90,32,184.4,86.4,35.6,52,15,16.5
M,117,92,37,184.4,72.7,42.6,56.99999999999999,10,11.5
F,90,69,24,83.3,33.1,19,27,9,10.5
M,100,80,33,165,50.8,41,56.99999999999999,13,14.5
F,100,80,28.999999999999996,126,46.800000000000004,29.299999999999997,46,12,13.5
F,106,87,34,163.1,59.699999999999996,31,55.00000000000001,13,14.5
M,84,67,23,73.8,34.2,14.2,24,8,9.5
F,88,68,28.000000000000004,96.39999999999999,37.2,21.7,32,9,10.5
I,80,60,22,63,21.8,13.4,24,9,10.5
I,87,68,22,75.9,29.9,17,24,8,9.5
F,105,83,34,166.5,55.1,33.7,62,13,14.5
I,74,56.00000000000001,19,53.1,24.4,10.4,16,7,8.5
F,98,73,28.999999999999996,126.89999999999999,39.900000000000006,32.5,44,10,11.5
M,67,50,18,36.199999999999996,15.1,8.3,12,7,8.5
F,83,65,21,76,31.900000000000002,15.7,24,12,13.5
M,100,81,28.000000000000004,123.10000000000001,48.199999999999996,27.1,41,9,10.5
F,97,79,32,132,49.5,25.6,47,14,15.5
M,110.00000000000001,81,28.000000000000004,160.5,48.8,32.7,51,10,11.5
M,90,70,26,92,34.8,22.2,27,8,9.5
I,81,60,24,64.8,25.3,14.000000000000002,22,7,8.5
M,94,72,27,100.2,33.300000000000004,23,33,10,11.5
F,83,61,26,64,26.1,15.1,21,8,9.5
F,89,65,25,91,35.699999999999996,22.5,28.000000000000004,9,10.5
F,94,70,28.999999999999996,103.49999999999999,37.4,24.7,36,11,12.5
F,98,75,30,115.10000000000001,44,28.799999999999997,38,9,10.5
F,89,71,30,97,36.199999999999996,25,31,11,12.5
I,85,76,21,65.3,25.7,15.7,20,10,11.5
F,100,74,27,90,34.300000000000004,21.099999999999998,31,9,10.5
F,78,57.99999999999999,25,61.1,24.2,16.400000000000002,18,7,8.5
I,73,54,17,41,15.6,9.700000000000001,14.000000000000002,7,8.5
F,115.99999999999999,93,33,220.29999999999998,80.80000000000001,41.9,70,11,12.5
F,106,83,32,156.6,58.699999999999996,31.6,49,15,16.5
M,111.00000000000001,89,27,167.2,67.2,32.5,55.00000000000001,13,14.5
M,112.99999999999999,88,35,180.5,62,38.6,65,14,15.5
M,125,101,43,289.1,99.2,57.4,87,22,23.5
I,55.00000000000001,43,15,23.1,9.700000000000001,5.800000000000001,7.000000000000001,7,8.5
I,88,70,27,87,36.3,16.6,25,12,13.5
I,59,45,16,24.8,9.700000000000001,6.4,8,9,10.5
I,15,11,2,0.4,0.2,0.1,0.3,1,2.5
I,26,20,6,2.6,0.8999999999999999,0.6,0.8,3,4.5
I,22,18,6,1.6,0.5,0.4,0.6,3,4.5
I,32,24,7.000000000000001,4.2,1.5,0.8999999999999999,1,5,6.5
M,112.99999999999999,85,32,188.5,69.89999999999999,43.7,55.00000000000001,17,18.5
I,54,40,14.000000000000002,20,6.800000000000001,4.9,7.000000000000001,5,6.5
I,46,35,13,12.9,5.2,2.1,4,5,6.5
I,60,46,16,25.5,8.7,5.3,8,8,9.5
I,66,51,17,33.1,12.6,7.8,12,8,9.5
I,70,52,17,34.8,14.099999999999998,6.9,12,10,11.5
I,64,49,16,31.7,12.7,6.5,10,13,14.5
I,72,55.00000000000001,17,39.5,14.899999999999999,8.3,14.000000000000002,9,10.5
I,61,49,15,31.2,13.5,7.6,9,7,8.5
I,69,54,22,42.699999999999996,16.400000000000002,10.9,14.000000000000002,7,8.5
I,66,50,21,34.300000000000004,13.100000000000001,7.000000000000001,12,7,8.5
M,118,94,36,224.7,84.1,56.10000000000001,72,13,14.5
F,119,91,31,212.1,102.69999999999999,43.3,60,12,13.5
F,114.99999999999999,92,37,218.8,89.7,43.4,69,15,16.5
M,120,99,33,248.3,97,55.50000000000001,68,15,16.5
M,112.00000000000001,90,35,202.2,76.7,41.3,74,15,16.5
M,112.00000000000001,90,37,214,76.1,35,82,19,20.5
M,109.00000000000001,92,32,179.5,68.2,33.1,69,10,11.5
F,127,101,34,283,121,59.4,73,15,16.5
F,118,95,32,220.29999999999998,95.5,51.1,59,13,14.5
F,108,95,31,185.60000000000002,78.8,38.800000000000004,52,11,12.5
F,113.99999999999999,88,25,173,73.5,34.5,54,12,13.5
M,106,84,33,178.9,63.800000000000004,47.8,49,11,12.5
I,49,39,12,19,8.9,4.9,5.2,4,5.5
M,54,40,16,24.099999999999998,9.3,5.6000000000000005,8,6,7.5
F,92,76,26,127.8,60,30.5,32,11,12.5
M,104,90,30,179,72.3,37.2,47,14,15.5
M,70,55.00000000000001,22,58.5,24.5,12.7,18.099999999999998,8,9.5
M,94,78,30,127.1,43.7,17.7,51,9,10.5
F,90,72,25,99.9,40.699999999999996,20,34,13,14.5
F,128,105,43,355.79999999999995,90.7,57.099999999999994,110.00000000000001,22,23.5
M,118,100,40,237.4,82.39999999999999,54.1,74,16,17.5
M,124,97,41,243.8,77.5,50.1,77,14,15.5
M,126,101,45,305,112.00000000000001,66.7,90,15,16.5
M,126,103,31,251.79999999999998,82.1,39.4,82,13,14.5
M,131,108,43,368.8,148.5,65.4,117,22,23.5
F,132,106,37,269.7,98.6,49,98,12,13.5
M,122,100,48,328.4,106.4,66.9,138,18,19.5
M,127,105,41,296.8,110.00000000000001,62.3,86,20,21.5
F,103,85,27,142.4,53.300000000000004,32.1,50,11,12.5
F,107,83,37,168.3,62.8,31.7,60,15,16.5
I,72,56.99999999999999,21,48.3,18.3,11.4,15,7,8.5
F,91,71,24,89.9,35.4,20.8,30,9,10.5
M,97,79,28.000000000000004,125.89999999999999,45.7,25.4,45,14,15.5
M,103,76,35,191.3,65,31.6,62,14,15.5
F,107,83,34,175.8,59,39.300000000000004,56.99999999999999,10,11.5
M,106,87,31,139.79999999999998,57.599999999999994,31.900000000000002,41,10,11.5
F,99,80,31,128.9,48.4,26.5,41,17,18.5
M,88,71,25,95.5,26.400000000000002,16.3,38,9,10.5
F,107,87,32,162.1,63.1,35.9,48,10,11.5
M,108,87,36,199.2,76.7,45.2,65,17,18.5
F,112.99999999999999,101,42,255.29999999999998,100.2,55.800000000000004,71,12,13.5
M,122,95,33,223.20000000000002,85.6,44.1,63,15,16.5
F,112.99999999999999,91,35,202.59999999999997,68.4,41.4,70,19,20.5
M,120,99,39,211.50000000000003,76.8,38,75,26,27.5
I,59,43,17,25.6,9.8,6.800000000000001,8,6,7.5
I,55.00000000000001,41,15,22.1,9,5.7,7.000000000000001,6,7.5
I,56.00000000000001,42,17,21.3,7.8,5.8999999999999995,6,4,5.5
M,98,79,28.000000000000004,109.80000000000001,44.3,25.5,30,11,12.5
M,74,56.00000000000001,21,46.800000000000004,18.099999999999998,11.700000000000001,15,9,10.5
F,81,61,19,69.69999999999999,29.099999999999998,17.9,20,9,10.5
F,108,87,35,178.4,64.4,34.8,67,13,14.5
M,74,56.00000000000001,20,50.4,21.3,11.899999999999999,14.799999999999999,8,9.5
M,72,54,20,43.4,17.7,9.9,14.299999999999999,6,7.5
F,94,72,26,94.39999999999999,36.4,22.8,30,10,11.5
I,40,28.999999999999996,12,7.3999999999999995,2.5,1.9,2.1999999999999997,4,5.5
I,33,24,6,4.3,1.4000000000000001,1,1,3,4.5
M,129,103,48,308.3,94.19999999999999,73.8,107,13,14.5
M,110.00000000000001,82,25,152.1,50.1,32.7,39,14,15.5
M,113.99999999999999,87,28.999999999999996,181.1,78.5,47.099999999999994,55.00000000000001,10,11.5
F,126,97,38,248.70000000000002,92.7,61.1,78,21,22.5
M,112.00000000000001,88,28.000000000000004,194.2,88.6,40.9,53,14,15.5
M,119,91,39,266.1,91.9,64.7,69,19,20.5
F,124,94,40,245.1,76.2,54,87,23,24.5
M,126,97,35,260,86.7,58.9,92,23,24.5
I,90,71,22,91.7,38.800000000000004,13.4,28.000000000000004,8,9.5
F,127,107,38,248.4,115.19999999999999,49.5,78,14,15.5
M,90,70,20,73.5,29.299999999999997,20.3,24,10,11.5
F,115.99999999999999,91,31,167.3,63,27.700000000000003,64,18,19.5
I,66,51,19,34.4,13.200000000000001,5.1,12,6,7.5
I,53,42,12,19.3,8.5,4.3999999999999995,6,5,6.5
I,38,28.999999999999996,8,7.6,3.3000000000000003,1.3,3,4,5.5
M,77,62,20,56.89999999999999,21.3,15,20,11,12.5
I,53,41,14.000000000000002,21.099999999999998,7.8,8.200000000000001,7.000000000000001,5,6.5
M,67,53,21,44.4,18.7,11.200000000000001,15,7,8.5
I,71,55.00000000000001,18,50.2,19.400000000000002,10.6,16,7,8.5
I,64,51,20,35.099999999999994,14.6,8.3,13,7,8.5
M,102,80,26,128.7,54,33.300000000000004,41,12,13.5
M,72,59,21,48.199999999999996,17.299999999999997,10.6,19,8,9.5
I,72,56.00000000000001,18,45.1,17.7,8,18,8,9.5
M,100,76,31,119.10000000000001,42.699999999999996,32.2,40,12,13.5
F,80,65,24,63.7,26.8,11.3,19,8,9.5
I,60,44,16,24.2,9.5,8.4,7.000000000000001,5,6.5
I,47,35,8,14.099999999999998,6.7,3,4,5,6.5
F,148,120,39,394.8,119.6,81.69999999999999,142,16,17.5
M,124,93,38,268.29999999999995,114.1,63.5,71,11,12.5
M,120,95,38,217.49999999999997,80.60000000000001,53.1,65,14,15.5
M,118,90,37,256.59999999999997,94.6,55.2,85,16,17.5
M,124,95,37,265,120.9,65,66,13,14.5
F,112.99999999999999,90,39,200.70000000000002,81.2,50.1,56.99999999999999,15,16.5
M,114.99999999999999,91,28.999999999999996,233,116.19999999999999,45.5,60,14,15.5
F,124,102,41,269.5,95.5,51.300000000000004,96,14,15.5
M,124,93,37,254.8,115.8,61.3,64,12,13.5
F,101,75,36,113.6,46.5,29.9,34,12,13.5
F,92,85,31,149.2,60.099999999999994,30.4,48,8,9.5
M,98,78,28.000000000000004,141.4,55.900000000000006,43.7,36,13,14.5
F,105,84,32,151.2,54.900000000000006,34.599999999999994,55.00000000000001,9,10.5
I,68,52,16,40,16,11.1,11,6,7.5
I,75,61,23,54.300000000000004,18.4,14.799999999999999,18,8,9.5
M,122,96,30,240,112.00000000000001,49.1,56.00000000000001,14,15.5
F,122,99,37,230.6,107.2,58.099999999999994,49,8,9.5
F,117,90,34,173.70000000000002,66.5,32.7,54,22,23.5
M,113.99999999999999,92,28.000000000000004,190.7,89.3,41.3,49,12,13.5
M,115.99999999999999,91,34,186,81.6,51.800000000000004,44,9,10.5
M,127,103,34,254.99999999999997,101.8,57.199999999999996,68,16,17.5
M,140,115.99999999999999,41,426,148.3,98,115.99999999999999,20,21.5
M,135,105,37,317.4,138.7,67.2,79,13,14.5
F,129,105,38,361.7,140.7,77.7,79,18,19.5
M,149,117,43,499.8,185.3,94.39999999999999,140,17,18.5
F,137,109.00000000000001,36,353.6,149.9,78.4,97,16,17.5
M,121,98,36,245.4,96,57.4,70,18,19.5
F,118,93,30,199.4,78.4,49.2,68,12,13.5
F,130,105,35,284.5,122,59.9,89,20,21.5
F,120,96,30,205.79999999999998,81.69999999999999,54.1,59,16,17.5
F,124,100,35,237.2,99.7,60.3,70,12,13.5
M,126,103,32,203.2,84.3,48.8,71,19,20.5
M,115.99999999999999,93,28.999999999999996,177.4,88.1,33.1,53,11,12.5
F,115.99999999999999,91,24,214.7,95.8,54.7,53,10,11.5
M,126,98,36,225.99999999999997,91.60000000000001,55.300000000000004,63,12,13.5
F,138,112.00000000000001,43,343.8,136,59.8,94,17,18.5
F,130,109.00000000000001,33,313.2,132.9,69.1,83,16,17.5
F,132,112.99999999999999,39,352.09999999999997,138.39999999999998,65.3,100,16,17.5
F,136,115.99999999999999,40,357.4,117,90.60000000000001,120,19,20.5
F,140,114.99999999999999,34,262,101.89999999999999,62.8,84,14,15.5
M,137,104,30,268.6,92.7,58.4,80,13,14.5
F,135,109.00000000000001,39,346.9,136.9,73.9,121,20,21.5
M,126,98,38,235.5,98.7,67.30000000000001,56.99999999999999,11,12.5
F,117,90,32,215.39999999999998,99.9,57.49999999999999,50,10,11.5
M,112.99999999999999,93,35,199,77.9,36.6,74,15,16.5
F,122,99,37,221.70000000000002,74.1,62.7,66,12,13.5
M,121,94,36,228.10000000000002,75.1,56.10000000000001,77,15,16.5
M,107,84,28.999999999999996,158.20000000000002,66,37.8,50,10,11.5
M,97,80,27,132.6,62.6,27.400000000000002,40,10,11.5
M,94,75,24,111.3,45.2,24.4,39,12,13.5
M,109.00000000000001,85,27,168.9,74.6,42,47,10,11.5
F,91,74,21,98.5,43.2,24.9,27,9,10.5
M,108,84,31,147.70000000000002,70.3,30.4,43,12,13.5
M,92,76,27,96.39999999999999,41.4,24.5,28.999999999999996,10,11.5
M,98,84,25,121.8,47.8,28.7,44,14,15.5
I,93,75,24,94.19999999999999,44.4,23.799999999999997,28.000000000000004,9,10.5
I,83,65,20,64.3,30.7,11.899999999999999,21,10,11.5
M,95,75,25,118.6,55.400000000000006,23,36,10,11.5
F,94,75,25,112.3,50.4,27.400000000000002,36,10,11.5
I,73,59,19,50,21.5,10.9,16,9,10.5
I,69,55.00000000000001,19,39.900000000000006,15.1,10.7,14.000000000000002,6,7.5
I,78,62,20,60.4,23.200000000000003,12.8,23,11,12.5
F,100,79,28.000000000000004,143.1,63.3,35.199999999999996,48,10,11.5
M,94,76,28.999999999999996,117.30000000000001,47.699999999999996,28.799999999999997,37,8,9.5
M,107,88,30,135.3,51.2,27.800000000000004,52,12,13.5
M,117,91,30,197.4,87.1,41.5,62,11,12.5
F,97,73,24,117.7,54,26.200000000000003,35,9,10.5
M,103,91,27,144.5,59,32.5,47,9,10.5
F,87,65,22,86.7,35.6,19.7,31,7,8.5
F,103,83,28.000000000000004,138.7,62.3,30.4,40,10,11.5
I,88,69,24,73,33.1,16.6,22,7,8.5
F,105,88,30,168.5,73.7,39.7,48,12,13.5
M,90,71,23,95.8,42.5,20.9,30,8,9.5
M,118,97,24,182.20000000000002,78,36.4,57.99999999999999,16,17.5
M,111.00000000000001,90,28.999999999999996,183,80,49.2,56.99999999999999,11,12.5
M,113.99999999999999,88,19,165.39999999999998,67.9,44.3,47,8,9.5
M,118,100,33,220.9,91.3,48.5,68,15,16.5
M,117,95,24,189,82,42.3,56.00000000000001,14,15.5
F,115.99999999999999,92,24,198.70000000000002,92.5,47.699999999999996,56.00000000000001,11,12.5
M,109.00000000000001,88,24,171.3,69.5,34.300000000000004,48,12,13.5
F,121,99,34,247.7,105.60000000000001,49.3,78,14,15.5
F,124,94,28.000000000000004,206.5,72.1,44.800000000000004,72,15,16.5
